epoch,reconstruction_loss
1,34135.0390625
2,28588.880859375
3,26792.078125
4,25668.60546875
5,25231.353515625
6,24942.98828125
7,24756.20703125
8,24634.71875
9,24548.291015625
10,24477.841796875
11,24396.140625
12,24353.931640625
13,24305.994140625
14,24265.92578125
15,24232.39453125
16,24188.306640625
17,24166.52734375
18,24147.236328125
19,24108.3125
20,24089.478515625
